header_title,header_subtitle,ad_link,ad_download_date_time,Asking price,    Asking price per m²,Listed since,Status,Acceptance,Kind of house,Building type,Year of construction,Accessibility,Specific,Type of roof,Areas,Living area,External storage space,Plot size,Volume in cubic meters,Number of rooms,Number of bath rooms,Bathroom facilities,Number of stories,Facilities,Energy label,Insulation,Heating,Hot water,Area,Ownership situation,Location,Garden,Front garden,Garden location,Shed / storage,Facilities.1,Insulation.1,Type of parking facilities,error,VVE (Owners Association) contribution,Type apartment,Exterior space attached to the building,Located at,Balcony/roof garden,Registration with KvK,Annual meeting,Periodic contribution,Reserve fund present,Maintenance plan,Building insurance,Service charges,Fees,Type of garage,Capacity,Other space inside the building,CH boiler,Facilities.2,Back garden,Provisional energy label,Construction period,Ownership situation.1,Quality marks,Original asking price,Sun terrace,Ownership situation.2,Ownership situation.3,Fees.1,Patio/atrium,Purchase combination,Aangeboden sinds,Verkoopdatum,Looptijd,Dimensions,Ownership situation.4,Type of property,Insulation.2,Side garden,Fees.2,Fees.3,Location.1
Joostingstraat 12,3071 TS Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/huis-88997167-joostingstraat-12/?navigateSource=resultlist,20220125_233737,"€ 309,500 kosten koper","€ 3,439    The asking price per m² (€ 309,500) is calculated by dividing the asking price of the home by the living area (90 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",7 weeks,Sold under reservation,Available in consultation,"Single-family home, row house",Resale property,1993,,,Flat roof covered with asphalt roofing,Living area90 m²External storage space8 m²,90 m²,8 m²,100 m²,276 m³,5 rooms (3 bedrooms),1 bathroom and 1 separate toilet,,2 stories,Mechanical ventilation and TV via cable,C            1.49What does this mean?,Double glazing,CH boiler,CH boiler,100 m²,Long-term lease (end date of long-term lease:  02-02-2092),,,,,Detached brick storage,Electricity,,Paid parking and public parking,no,,,,,,,,,,,,,Paid until 14-09-2064,,,,"Gas-fired, in ownership",,,,,,,,,,,,,,,,,,,,,,,,
Oudedijkse Schiekade 35 b,3043 LA Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/huis-88952573-oudedijkse-schiekade-35-b/?navigateSource=resultlist,20220125_233744,"€ 450,000 kosten koper","€ 4,688    The asking price per m² (€ 450,000) is calculated by dividing the asking price of the home by the living area (96 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",2 months,Sold under reservation,Available in consultation,"Single-family home, row house",Resale property,1991,,,Flat roof covered with asphalt roofing,Living area96 m²External storage space12 m²,96 m²,12 m²,181 m²,337 m³,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,Shower and toilet,2 stories,,,Double glazing,CH boiler,CH boiler,181 m²,Municipal long-term lease,Alongside a quiet road,Back garden and front garden,,Located at the northeast accessible via the rear,Detached brick storage,,,Public parking,no,,,,,,,,,,,,,Paid until 18-06-2089,,,,Gas-fired combination boiler from 2021,,"110 m² (22 meter deep and 5,15 meter broad)",C        What does this mean?,,,,,,,,,,,,,,,,,,,,,
Provenierssingel 36,3033 EM Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-88852681-provenierssingel-36/?navigateSource=resultlist,20220125_233752,"€ 725,000 kosten koper","€ 5,709    The asking price per m² (€ 725,000) is calculated by dividing the asking price of the home by the living area (127 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",5 months,Available,Available in consultation,,Resale property,1896,,Protected townscape or village view (permit needed for alterations),,Living area127 m²,127 m²,,,381 m³,4 rooms (3 bedrooms),1 bathroom and 2 separate toilets,Bath,2 stories,TV via cable,A        What does this mean?,Double glazing,CH boiler,CH boiler,,Full ownership,,Back garden,,Located at the southeast,,,,Paid parking and resident's parking permits,no,,Double ground-floor apartment (apartment),,1st floor,Balcony present,No,No,No,No,No,No,,,,,,"Remeha Avanta (gas-fired combination boiler from 2020, in ownership)",,"31 m² (5,61 meter deep and 5,46 meter broad)",,,,,,,,,,,,,,,,,,,,,,
Lloydkade 855,3024 WZ Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-88982946-lloydkade-855/?navigateSource=resultlist,20220125_233759,"€ 1,495,000 kosten koper","€ 7,119    The asking price per m² (€ 1,495,000) is calculated by dividing the asking price of the home by the living area (210 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",2 months,Available,Available in consultation,,Resale property,2011,,,Flat roof,Living area210 m²Exterior space attached to the building24 m²External storage space25 m²,210 m²,25 m²,,720 m³,4 rooms (3 bedrooms),,,1 story,Elevator and mechanical ventilation,A++        What does this mean?,"Roof insulation, double glazing, insulated walls, floor insulation and completely insulated",District heating and complete floor heating,,,Full ownership,"Alongside a quiet road, on navigable waterway, alongside water, in residential district, freestanding location and unobstructed surrounding view",,,,,,,,no,€ 456.00 per month,Apartment with shared street entrance (apartment),24 m²,22nd floor,,Yes,Yes,Yes (€ 456.00 per month),Yes,Yes,Yes,,,"Built-in, underground parking and parking place",2 cars,,,,,,,Full ownership,,,,Full ownership,,,,,,,,,,,,,,,
Hovendaal 16,3075 ZH Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/huis-42501030-hovendaal-16/?navigateSource=resultlist,20220125_233806,"€ 259,000 kosten koper","€ 3,453    Keep in mind, this house has a large plot sizeThe asking price per m² (€ 259,000) is calculated by dividing the asking price of the home by the living area (75 m²). Plot size and outbuildings aren't taken into account into this calculation.Because of the large plot size, the asking price per m² is less suited for comparisons between houses in this situation and we advise you to consult a real estate agent for further interpretation.  ",2 months,Available,Available in consultation,"Single-family home, row house",Resale property,1933,,,Gable roof,Living area75 m²Other space inside the building5 m²External storage space4 m²,75 m²,4 m²,159 m²,260 m³,3 rooms (2 bedrooms),,,2 stories,,F            2.65What does this mean?,Double glazing,CH boiler,CH boiler,159 m² (part of parcel),Full ownership,Alongside a quiet road and in residential district,Back garden and front garden,,,Detached wooden storage,,,Paid parking and public parking,no,,,,,,,,,,,,,,,,5 m²,"Remeha ( combination boiler from 2018, in ownership)",,,,,,,,,,,,,Part of a project for the selling of rented property to the sitting tenants,,,,,,,,,,,
Pijpbloem 27,3068 AM Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/huis-42652192-pijpbloem-27/?navigateSource=resultlist,20220125_233814,"€ 375,000 kosten koper","€ 3,074    The asking price per m² (€ 375,000) is calculated by dividing the asking price of the home by the living area (122 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",5 weeks,Sold under reservation,Available in consultation,"Single-family home, row house (drive-in residential property)",Resale property,1973,,,Flat roof covered with asphalt roofing,Living area122 m²Other space inside the building16 m²Exterior space attached to the building6 m²External storage space9 m²,122 m²,9 m²,126 m²,400 m³,6 rooms (4 bedrooms),1 bathroom and 1 separate toilet,Bath and shower,3 stories,Solar panels,D        What does this mean?,Double glazing,CH boiler and partial floor heating,CH boiler,126 m²,Ownership encumbered with long-term lease and building and planting rights (end date of long-term lease:  12-11-2089),In residential district and unobstructed surrounding view,Back garden and front garden,,Located at the south accessible via the rear,,Electricity,,Parking on private property and public parking,no,,,6 m²,,Balcony present,,,,,,,,Paid until 12-11-2089,Built-in,1 car,16 m²,"Intergas (gas-fired combination boiler from 2018, in ownership)",,"45 m² (10 meter deep and 4,5 meter broad)",,,,,,,,,,,,,,,,,,,,,,
Laan op Zuid 128,3071 AA Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-88029037-laan-op-zuid-128/?navigateSource=resultlist,20220125_233821,"€ 550,000 kosten koper","€ 4,015    The asking price per m² (€ 550,000) is calculated by dividing the asking price of the home by the living area (137 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",4 weeks,Sold under reservation,Available in consultation,,Resale property,2005,Disabled access friendly,,Gable roof covered with other,Living area137 m²External storage space6 m²,137 m²,6 m²,,417 m³,3 rooms (2 bedrooms),1 separate toilet,,1 story,Elevator and mechanical ventilation,A            1.24What does this mean?,Double glazing and completely insulated,District heating,District heating,,Full ownership,"Alongside a quiet road, on navigable waterway and unobstructed surrounding view",,,,Built-in,,,Parking garage,no,€ 218.00 per month,Residential property with shared street entrance (apartment),,6th floor,,Yes,Yes,Yes (€ 218.00 per month),Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacques Dutilhweg 767,3065 JH Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-42652876-jacques-dutilhweg-767/?navigateSource=resultlist,20220125_233829,"€ 400,000 kosten koper","€ 3,636    The asking price per m² (€ 400,000) is calculated by dividing the asking price of the home by the living area (110 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",4 weeks,Sold under reservation,Available in consultation,,Resale property,1992,,,Flat roof covered with asphalt roofing,Living area110 m²Exterior space attached to the building24 m²External storage space8 m²,110 m²,8 m²,,355 m³,3 rooms (2 bedrooms),1 bathroom and 1 separate toilet,,1 story,Mechanical ventilation,B        What does this mean?,Double glazing,CH boiler,CH boiler,,Private long-term lease (end date of long-term lease:  29-09-2091),In residential district and unobstructed surrounding view,,,,Storage box,,,Public parking,no,€ 227.96 per month,Penthouse (apartment),24 m²,5th floor,Roof terrace present and balcony present,Yes,Yes,Yes (€ 227.96 per month),Yes,Yes,Yes,,Paid until 19-09-2041,,,,"Remeha (gas-fired combination boiler from 2008, in ownership)",,,,,,,,,,,,,,,,,,,,,,,,
Gijsingstraat 18 C,3026 RL Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-42672542-gijsingstraat-18-c/?navigateSource=resultlist,20220125_233837,"€ 300,000 kosten koper","€ 3,409    The asking price per m² (€ 300,000) is calculated by dividing the asking price of the home by the living area (88 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ","January 14, 2022",Available,Available in consultation,,Resale property,1926,,Renovation project,Flat roof covered with asphalt roofing,Living area88 m²Exterior space attached to the building5 m²,88 m²,,,292 m³,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,Shower,1 story,Passive ventilation system and TV via cable,C        What does this mean?,Double glazing,CH boiler,CH boiler,,Ownership encumbered with long-term leaset,"Alongside a quiet road, in center and in residential district",,,,Built-in,Electricity,No insulation,Paid parking and resident's parking permits,no,€ 233.00 per month,Apartment with shared street entrance (apartment),5 m²,1st floor,Balcony present,Yes,Yes,Yes (€ 233.00 per month),Yes,Yes,No,,,,,,"Gas-fired combination boiler from 2007, in ownership",,,,,,,,,,,,,,,,,,,,,,,,
Riet Blom-Mouritsstraat 32,3066 GL Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/huis-42660807-riet-blom-mouritsstraat-32/?navigateSource=resultlist,20220125_233844,"€ 450,000 kosten koper","€ 4,018    The asking price per m² (€ 450,000) is calculated by dividing the asking price of the home by the living area (112 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",3 weeks,Available,Available in consultation,"Single-family home, corner house",Resale property,1992,,,,Living area112 m²External storage space8 m²,112 m²,8 m²,137 m²,377 m³,6 rooms (5 bedrooms),1 bathroom and 1 separate toilet,Bath and toilet,3 stories,,,Double glazing,CH boiler and partial floor heating,CH boiler,137 m²,Full ownership,Alongside a quiet road and in residential district,"Back garden, front garden and side garden",,Located at the south accessible via the rear,Detached wooden storage,,,Public parking,no,,,,,,,,,,,,,,,,,"Gas-fired combination boiler, in ownership",,"55 m² (10 meter deep and 5,5 meter broad)",B        What does this mean?,,,,,,,,,,,,,,,,,,,,,
Beukelsweg 90 B,3022 GM Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-42542382-beukelsweg-90-b/?navigateSource=resultlist,20220125_233852,"€ 675,000 kosten koper","€ 4,720    The asking price per m² (€ 675,000) is calculated by dividing the asking price of the home by the living area (143 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",6 weeks,Sold under reservation,Available in consultation,,Resale property,1921,,,Flat roof covered with asphalt roofing,Living area143 m²Other space inside the building66 m²Exterior space attached to the building7 m²,143 m²,,,654 m³,6 rooms (4 bedrooms),1 bathroom and 1 separate toilet,Bath,2 stories,Optical fibre,E        What does this mean?,Double glazing,CH boiler,CH boiler,,Full ownership,In center,Back garden,,Located at the southwest,Built-in,,,"Paid parking, public parking and resident's parking permits",no,€ 111.42 per month,Ground-floor apartment (apartment),7 m²,Ground floor,Balcony present,Yes,Yes,Yes (€ 111.42 per month),Yes,No,Yes,,,,,66 m²,"HR (gas-fired combination boiler from 2019, in ownership)",,"111 m² (17,31 meter deep and 6,4 meter broad)",,,,,,,,,,,,,,,,,,,,,,
Geertruidenbergstraat 20,3086 WJ Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/huis-42680885-geertruidenbergstraat-20/?navigateSource=resultlist,20220125_233859,"€ 385,000 kosten koper","€ 3,377    The asking price per m² (€ 385,000) is calculated by dividing the asking price of the home by the living area (114 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ","January 21, 2022",Available,Available in consultation,"Single-family home, row house",Resale property,2011,,,Flat roof covered with asphalt roofing,Living area114 m²Other space inside the building18 m²External storage space7 m²,114 m²,7 m²,100 m²,458 m³,6 rooms (5 bedrooms),1 bathroom and 1 separate toilet,Bath and toilet,3 stories,TV via cable,A        What does this mean?,Double glazing,District heating,District heating,100 m²,Full ownership,Alongside a quiet road and in residential district,Back garden,,,Attached wooden storage,,,Public parking,no,,,,,,,,,,,,,,,,18 m²,,,,,,,,,,,,,,,,,,,,,,,,,
